variant,target,n,k,ell,beta_xy,beta_k,log2_message_space,birthday_bits,beta_ver,q_bits,sig_coeff_bits,secret_coeff_bits,pk_kb,sig_kb,x_or_y_kb
ANT-II-like,103,1024,3,4,6,28,209.51841449743594,104.75920724871797,336,23,10,4,17.25,5.0,2.0
ANT-III-like,138,1024,4,5,5,40,279.7276232611467,139.86381163057334,400,23,10,4,23.0,6.25,2.5
